Eigenvector Projection Log
protocol,step,mod0,mod1,mod2,mod3,mod4,mod5,mod6,mod7,mod8,mod9
0.000000000000000000e+00,1.000000000000000000e+00,3.949462438576386084e-03,7.012896309084155899e-02,2.789090686390555129e-02,3.928417342681485014e-01,4.905830765697751644e-02,1.919014308814994962e-01,8.799336013076106133e-02,1.023536125795528468e-01,4.284444050528902342e-02,1.692368822395877159e-01
0.000000000000000000e+00,1.010000000000000000e+02,8.244175726278363259e-03,1.457206075704121084e-01,5.798589127509200941e-02,8.160306367402666572e-01,1.020408417773313592e-01,3.986132808609267886e-01,1.829537758863797048e-01,2.124659205231153591e-01,8.903398821834040966e-02,2.194169125526550246e-03
0.000000000000000000e+00,2.010000000000000000e+02,8.203934149040133933e-03,1.460396883249179822e-01,5.807005219232821286e-02,8.181177837593947011e-01,1.021043673079716774e-01,3.996520101344013809e-01,1.831686604128971718e-01,2.132093494941652012e-01,8.920794311022664513e-02,5.314395531980515598e-03
0.000000000000000000e+00,3.010000000000000000e+02,8.248105484886591315e-03,1.461031288494571423e-01,5.812489573032390833e-02,8.181129600790265632e-01,1.022177978004953636e-01,3.996199668325808863e-01,1.832940502948043893e-01,2.130220567574474810e-01,8.923470871799481230e-02,7.650140040321071720e-03
0.000000000000000000e+00,4.010000000000000000e+02,8.193004332644367171e-03,1.461146247045107815e-01,5.810301638395563850e-02,8.182090599583615731e-01,1.020080758311018021e-01,3.995960045903591551e-01,1.829894897386381003e-01,2.131755265262533783e-01,8.911532487841170025e-02,6.657872031390290983e-03
0.000000000000000000e+00,5.010000000000000000e+02,8.278966787808070965e-03,1.463112314179468576e-01,5.821512882218228546e-02,8.182867762464822725e-01,1.020270345692983610e-01,3.994241768846009677e-01,1.828778413397983138e-01,2.127697678427303840e-01,8.903496579297687230e-02,8.661838158288378761e-03
0.000000000000000000e+00,6.010000000000000000e+02,8.255262678828256817e-03,1.465449393305389980e-01,5.824931686476207682e-02,8.186098143039661768e-01,1.014560870901336231e-01,3.991631374873640392e-01,1.818822236966231576e-01,2.126917515660739777e-01,8.865752035532567521e-02,5.604111362495904115e-03
0.000000000000000000e+00,7.010000000000000000e+02,8.422994663638676618e-03,1.471965646942134387e-01,5.855475420725360369e-02,8.189787164031401279e-01,1.010092721703748364e-01,3.984676430822440829e-01,1.807682219761355402e-01,2.116793075480842834e-01,8.810601556738670292e-02,8.607061190838581968e-03
0.000000000000000000e+00,8.010000000000000000e+02,8.496322803583096495e-03,1.481451012811474954e-01,5.884851184921990191e-02,8.198879618222099097e-01,9.951379447652747290e-02,3.974137605780387883e-01,1.779381042105971367e-01,2.107931144896918185e-01,8.695289932748727357e-02,3.533521143240909122e-03
0.000000000000000000e+00,9.010000000000000000e+02,8.870030638934114919e-03,1.499329617134654569e-01,5.958463043122668584e-02,8.210222937160489565e-01,9.768425014508663740e-02,3.954053214592782028e-01,1.740688352394480221e-01,2.083352010763099837e-01,8.529341297462510185e-02,8.318590788832624927e-03
0.000000000000000000e+00,1.001000000000000000e+03,9.220144747634705443e-03,1.525880374481028146e-01,6.053978378808849009e-02,8.230292819393714154e-01,9.403657287168269707e-02,3.923223887523395459e-01,1.671088200980370142e-01,2.053685982158982570e-01,8.253980440462062307e-02,8.656387957597048294e-04
0.000000000000000000e+00,1.101000000000000000e+03,1.002538462141197573e-02,1.569082421838341179e-01,6.230266477985484108e-02,8.254916898449677909e-01,8.895516728829487574e-02,3.871476525304484717e-01,1.572934722358594051e-01,1.997943249460079895e-01,7.878243559163705667e-02,8.393563153737650800e-03
0.000000000000000000e+00,1.201000000000000000e+03,1.105562488711190651e-02,1.632580323114012355e-01,6.481271231213756034e-02,8.288711518372868792e-01,8.046737760925301575e-02,3.791596963860393577e-01,1.420173321880295603e-01,1.921524580140506755e-01,7.354785825050336179e-02,2.501684577102581981e-03
0.000000000000000000e+00,1.301000000000000000e+03,1.284739485965450886e-02,1.728684740404678177e-01,6.895004286347933276e-02,8.321913379933658650e-01,6.810805083868423648e-02,3.663666294636371279e-01,1.208329099781910582e-01,1.799461890872461334e-01,6.716786809285459070e-02,9.414597070977259036e-03
0.000000000000000000e+00,1.401000000000000000e+03,1.535343971526733492e-02,1.865720089175144369e-01,7.507393986482081838e-02,8.345378674174748213e-01,4.934781751377701614e-02,3.467382274091129202e-01,9.132260572471206928e-02,1.628585727899775348e-01,5.996776568229372079e-02,7.116507176546951752e-03
