Eigenvector Projection Log
protocol,step,mod0,mod1,mod2,mod3,mod4,mod5,mod6,mod7,mod8,mod9
0.000000000000000000e+00,0.000000000000000000e+00,2.282317732021189177e-02,1.342096386184963852e-01,2.920329878595359641e-02,3.699004580673451725e-01,3.699004580673451725e-01,1.390211994161280051e-01,2.830563406040135233e-01,3.286784766102438665e-02,9.155897205546983941e-02,2.885126842729071051e-01
0.000000000000000000e+00,1.000000000000000000e+02,4.102050968577237305e-02,2.422493323325796699e-01,5.262175928209077841e-02,6.665355446913848736e-01,6.665355446913848736e-01,2.504993010380677232e-01,5.106073136262898604e-01,5.900707247807097239e-02,1.650469363133421630e-01,2.059506394390754613e-02
0.000000000000000000e+00,2.000000000000000000e+02,4.129892456990315319e-02,2.424181173597841632e-01,5.279802009817578801e-02,6.686082153898291747e-01,6.686082153898291747e-01,2.512770135094015145e-01,5.113846999447206887e-01,5.950464201942529813e-02,1.654578756038205811e-01,4.341077992679161029e-04
0.000000000000000000e+00,3.000000000000000000e+02,4.117830385091720419e-02,2.427100176719551861e-01,5.290613314191169175e-02,6.683845006282420620e-01,6.683845006282420620e-01,2.511034025566963312e-01,5.116131952424100016e-01,5.935962675216945733e-02,1.653839051437300256e-01,7.932931832718297799e-03
0.000000000000000000e+00,4.000000000000000000e+02,4.141802241672941365e-02,2.423218723521742834e-01,5.334099624296474718e-02,6.690772210633098016e-01,6.690772210633098016e-01,2.510206969214764383e-01,5.105979766255233088e-01,6.038728572445731246e-02,1.653155667029619080e-01,6.119575564797652585e-03
0.000000000000000000e+00,5.000000000000000000e+02,4.133342068856245971e-02,2.427509108999066911e-01,5.460527415736809304e-02,6.694299711875248970e-01,6.694299711875248970e-01,2.502349442560527493e-01,5.097943604051227151e-01,6.150979028487579131e-02,1.648465607456331417e-01,1.296915648167232087e-02
0.000000000000000000e+00,6.000000000000000000e+02,4.194673693537012693e-02,2.420529680655794935e-01,5.762555867528870723e-02,6.722224419776464677e-01,6.722224419776464677e-01,2.491718633489938828e-01,5.059146011555367695e-01,6.584540796023422016e-02,1.639732115598771522e-01,5.111395672118932039e-03
0.000000000000000000e+00,7.000000000000000000e+02,4.228834384637982641e-02,2.426938398626966586e-01,6.401189455081680857e-02,6.757234505805852498e-01,6.757234505805852498e-01,2.460293860985800218e-01,4.999824796922674452e-01,7.283050727955481252e-02,1.617398423693966747e-01,1.628465682738991852e-02
0.000000000000000000e+00,8.000000000000000000e+02,4.413379365377301244e-02,2.416418909969830220e-01,7.755245583783682006e-02,6.857400543401259707e-01,6.857400543401259707e-01,2.407464226794983619e-01,4.848624423307793530e-01,8.906228422285392132e-02,1.569077917418609802e-01,3.308739259771232948e-03
0.000000000000000000e+00,9.000000000000000000e+02,4.631349054074521132e-02,2.431921170275682664e-01,1.068038667499568578e-01,7.019682211028333008e-01,7.019682211028333008e-01,2.280892402996813340e-01,4.560771349488573212e-01,1.172751522546332525e-01,1.443130148805256141e-01,2.235473507699661799e-02
1.000000000000000000e+00,0.000000000000000000e+00,5.235562856446412255e-02,2.429713579480648755e-01,1.667052225827599654e-01,7.344265711769356608e-01,7.344265711769356608e-01,2.035531697155582576e-01,3.903028293991020470e-01,1.712137369549797394e-01,1.137593431093173041e-01,3.182225455314991770e-03
1.000000000000000000e+00,1.000000000000000000e+02,5.781281210031335299e-02,2.481997869327605410e-01,2.472130345645561500e-01,7.623566759578431773e-01,7.623566759578431773e-01,1.664306201625845028e-01,2.993538685284459211e-01,2.241273998926073818e-01,6.247139924823885693e-02,2.183768309069167302e-02
1.000000000000000000e+00,2.000000000000000000e+02,6.400478648485474764e-02,2.526434258311530123e-01,3.163613059476283462e-01,7.790026370047676840e-01,7.790026370047676840e-01,1.322933604903269444e-01,2.093156431716002019e-01,2.564830176654240290e-01,8.485468514173874835e-03,3.328478120983586596e-03
1.000000000000000000e+00,3.000000000000000000e+02,6.932526965629624838e-02,2.625210139454156599e-01,3.770470159480545647e-01,7.822529309454696600e-01,7.822529309454696600e-01,9.671696254258703440e-02,1.207338875123237926e-01,2.671319061052022104e-01,4.601868983700414112e-02,8.392188531574352323e-03
1.000000000000000000e+00,4.000000000000000000e+02,7.678394244664124568e-02,2.722971093121181463e-01,4.359691850793755430e-01,7.730994805459963093e-01,7.730994805459963093e-01,5.558751789291288548e-02,1.718683970817554835e-02,2.658572134786130747e-01,1.018686721005088308e-01,8.289302275521397492e-03
1.000000000000000000e+00,5.000000000000000000e+02,8.576853870763705145e-02,2.810000201104929651e-01,4.983277182007242456e-01,7.373104929994100942e-01,7.373104929994100942e-01,8.269752573726861814e-04,1.172447366861677082e-01,2.490591508348175553e-01,1.609402981349093431e-01,3.750277189678690500e-03
1.000000000000000000e+00,6.000000000000000000e+02,9.583288346688928483e-02,2.768407140684152057e-01,5.583173058648931431e-01,6.444938374210484877e-01,6.444938374210484877e-01,7.356573195092527828e-02,2.988598984637877987e-01,2.087737489516625911e-01,2.204454319860015277e-01,9.617202138642755305e-03
1.000000000000000000e+00,7.000000000000000000e+02,1.002399769953308678e-01,2.393056605470677833e-01,5.830086914433055822e-01,4.421004923925207497e-01,4.421004923925207497e-01,1.655585219466751135e-01,5.149762873593020096e-01,1.269210199182395360e-01,2.652714794132501885e-01,1.230397605222762619e-02
1.000000000000000000e+00,8.000000000000000000e+02,8.894673823328211326e-02,1.522718466224804723e-01,5.184086833819813167e-01,1.303072599072234994e-01,1.303072599072234994e-01,2.418836591843587513e-01,6.786472839478938646e-01,7.514798270201216053e-03,2.654408563818903000e-01,3.433895324530548444e-03
1.000000000000000000e+00,9.000000000000000000e+02,6.477171017576764667e-02,5.059858586990183260e-02,3.838120579457111048e-01,1.740121273606615449e-01,1.740121273606615449e-01,2.711987170587382701e-01,7.154023069645969457e-01,1.033725900076491871e-01,2.236745019587740579e-01,5.076966812025652045e-03
